corrida,nodo,latencia_s,tokens_entrada,tokens_salida
T4_mercury_k1,organizador,8.113540000020294,5315,3437
T4_mercury_k1,director,1.6085916000010911,1953,401
T4_mercury_k1,director,4.308450399985304,2912,764
T4_mercury_k1,constructor,0.7511257999867667,190,4
T4_mercury_k1,constructor,0.5750355000200216,188,2
T4_mercury_k1,constructor,0.6039841999881901,2459,71
T4_mercury_k1,constructor,0.8357437000086065,190,3
T4_mercury_k1,constructor,0.9890392000088468,85,3
T4_mercury_k1,constructor,0.6637141999963205,180,4
T4_mercury_k1,constructor,0.5032280999876093,77,2
T4_mercury_k1,constructor,0.6302316999936011,172,5
T4_mercury_k1,constructor,0.5100282999919727,81,3
T4_mercury_k1,constructor,0.6560230000177398,186,3
T4_mercury_k1,constructor,0.4762654000078328,83,2
T4_mercury_k1,constructor,0.7282538000144996,189,3
T4_mercury_k1,constructor,0.8050700000021607,189,2
T4_mercury_k1,constructor,0.6622684999892954,192,3
T4_mercury_k1,constructor,0.7828273999912199,185,3
T4_mercury_k1,constructor,0.42603889998281375,192,3
T4_mercury_k1,constructor,0.4995247999904677,191,3
T4_mercury_k1,constructor,0.5175913000130095,190,4
T4_mercury_k1,constructor,0.6340669000055641,174,3
T4_mercury_k1,constructor,1.2147388999874238,661,17
T4_mercury_k1,programador,4.934546700009378,6494,933
T4_mercury_k1,programador,2.484262999991188,2067,646
T4_mercury_k1,programador,1.3593017000239342,2258,276
T4_mercury_k1,musico,0.6577239999896847,373,6
T4_mercury_k1,musico,0.6282194999803323,281,2
T4_mercury_k1,director,1.5498123000143096,1979,435
T4_mercury_k1,director,4.5767600999970455,3126,744
T4_mercury_k1,constructor,0.5419759000069462,190,3
T4_mercury_k1,constructor,0.4392285000067204,182,2
T4_mercury_k1,constructor,0.5123187999997754,187,3
T4_mercury_k1,constructor,0.40097550000064075,179,3
T4_mercury_k1,constructor,0.9405680999916513,2460,80
T4_mercury_k1,constructor,0.5550191999936942,177,3
T4_mercury_k1,constructor,0.6903006999928039,82,3
T4_mercury_k1,constructor,0.8240813000011258,175,5
T4_mercury_k1,constructor,0.5672118999937084,82,2
T4_mercury_k1,constructor,0.6471782999869902,177,5
T4_mercury_k1,constructor,0.4876904000120703,78,4
T4_mercury_k1,constructor,0.4765432999993209,182,5
T4_mercury_k1,constructor,0.6305781999835745,82,2
T4_mercury_k1,constructor,0.5896930000162683,186,4
T4_mercury_k1,constructor,0.6835793000063859,85,4
T4_mercury_k1,constructor,0.6574683999933768,178,4
T4_mercury_k1,constructor,0.5389812999928836,70,4
T4_mercury_k1,constructor,0.778577499993844,188,2
T4_mercury_k1,constructor,0.6465562999946997,194,4
T4_mercury_k1,constructor,0.6461241999932099,200,6
T4_mercury_k1,constructor,0.6470473000081256,189,5
T4_mercury_k1,constructor,0.6065849999722559,189,2
T4_mercury_k1,constructor,0.5559604000009131,187,5
T4_mercury_k1,constructor,0.550180200021714,193,6
T4_mercury_k1,constructor,0.6610062999825459,181,4
T4_mercury_k1,constructor,1.667382199986605,755,84
T4_mercury_k1,programador,4.2450257999880705,6815,1415
T4_mercury_k1,programador,5.713974800019059,2254,815
T4_mercury_k1,programador,1.7180898000078741,2038,128
T4_mercury_k1,musico,0.3902458999946248,364,7
T4_mercury_k1,director,1.6825206999783404,1906,405
