corrida,texto,fixture,modelo,provider,k,modo,idioma,fallo_terminal,error,tiempo_total_s,reintentos_organizador,reintentos_director,reintentos_programador,n_escenas,narrativos_total,pct_narrativos_gltf,interacciones_por_escena,fases_por_escena,zonas_por_escena,dialogos_por_personaje,llamadas_llm,latencia_total_s,latencia_media_s,tokens_entrada_total,tokens_salida_total,cobertura_tokens_pct,reparaciones_director_total,reparaciones_por_escena,narrativos_reubicados,separacion_ajustes,colisiones_resueltas,quiz_preguntas,sesgo_quiz_crudo
T4_mercury_k1,T4,el_ultimo_turno.txt,mercury-2,mercury,1,narrativo,es,False,,163.4,0,0,0,4,22,100.0,7.75,3,0.75,2.6,105,128.05,1.22,92350,16844,100.0,0,0.0,0,0,0,0,
T1_mercury_k1,T1,habichulas.txt,mercury-2,mercury,1,narrativo,es,False,,336.51,0,0,0,8,25,100.0,5.38,2.38,0.88,1.67,176,270.62,1.538,187205,33421,100.0,0,0.0,0,0,0,0,
T1_mercury_k2,T1,habichulas.txt,mercury-2,mercury,2,narrativo,es,False,,320.19,0,0,0,8,26,100.0,5.62,2.88,1,2.18,181,264.94,1.464,179236,32201,100.0,0,0.0,0,0,0,0,
T1_mercury_k3,T1,habichulas.txt,mercury-2,mercury,3,narrativo,es,False,,288.37,0,0,0,7,25,100.0,5.86,3,1,2.14,169,232.23,1.374,162133,29890,100.0,0,0.0,0,0,0,0,
T1_mercury_k4,T1,habichulas.txt,mercury-2,mercury,4,narrativo,es,False,,356.59,0,0,0,8,26,100.0,5.88,2.88,0.75,1.95,188,291.83,1.552,178864,34585,100.0,0,0.0,0,0,0,0,
T1_mercury_k5,T1,habichulas.txt,mercury-2,mercury,5,narrativo,es,False,,365.31,0,0,0,8,27,100.0,5.12,2,0.75,1.75,197,293.95,1.492,190707,33974,100.0,0,0.0,0,0,0,0,
T2_mercury_k1,T2,las_aventuras_de_elena.txt,mercury-2,mercury,1,narrativo,es,False,,207.79,0,0,0,5,20,100.0,7,2.8,0.8,2,109,170.1,1.561,114626,20850,100.0,1,0.2,0,1,0,0,
T2_mercury_k2,T2,las_aventuras_de_elena.txt,mercury-2,mercury,2,narrativo,es,False,,278.2,1,0,0,5,23,100.0,7.6,2.8,0.8,2.3,121,240.1,1.984,140186,28945,100.0,0,0.0,0,0,0,0,
T2_mercury_k3,T2,las_aventuras_de_elena.txt,mercury-2,mercury,3,narrativo,es,False,,213.12,0,0,0,5,22,100.0,6.8,3,1,2.2,109,175.88,1.614,115683,21826,100.0,0,0.0,0,0,0,0,
T2_mercury_k4,T2,las_aventuras_de_elena.txt,mercury-2,mercury,4,narrativo,es,False,,213.05,1,0,0,5,23,100.0,7.2,3,1,2,119,172.54,1.45,128635,27000,100.0,1,0.2,0,1,0,0,
T2_mercury_k5,T2,las_aventuras_de_elena.txt,mercury-2,mercury,5,narrativo,es,False,,277.78,1,0,0,6,23,100.0,6.17,3,1,2.5,134,228.55,1.706,154274,32622,100.0,0,0.0,0,0,0,0,
T3_mercury_k1,T3,romeo_y_julieta.txt,mercury-2,mercury,1,narrativo,es,False,,390.57,0,0,0,9,30,100.0,5.56,2.89,1,1.81,211,318.58,1.51,206612,37409,100.0,2,0.22,0,1,1,0,
T3_mercury_k2,T3,romeo_y_julieta.txt,mercury-2,mercury,2,narrativo,es,False,,376.68,1,0,0,9,31,100.0,5.78,2.44,0.67,1.8,205,300.82,1.467,212872,40742,100.0,0,0.0,0,0,0,0,
T3_mercury_k3,T3,romeo_y_julieta.txt,mercury-2,mercury,3,narrativo,es,False,,376.56,0,0,0,9,27,100.0,5.33,2.89,0.78,2.14,203,313.77,1.546,221156,39459,100.0,0,0.0,0,0,0,0,
T3_mercury_k4,T3,romeo_y_julieta.txt,mercury-2,mercury,4,narrativo,es,False,,316.37,0,0,0,8,24,100.0,5.75,3,0.88,2.29,183,257.85,1.409,194424,38560,100.0,1,0.12,0,1,0,0,
T3_mercury_k5,T3,romeo_y_julieta.txt,mercury-2,mercury,5,narrativo,es,False,,330.41,0,0,0,8,34,100.0,6,3,0.88,1.8,194,270.3,1.393,182073,33005,100.0,4,0.5,0,3,1,0,
T4_mercury_k2,T4,el_ultimo_turno.txt,mercury-2,mercury,2,narrativo,es,False,,141.52,0,0,0,3,20,100.0,9,3.67,0.67,3.25,90,116.24,1.292,73295,13927,100.0,0,0.0,0,0,0,0,
T4_mercury_k3,T4,el_ultimo_turno.txt,mercury-2,mercury,3,narrativo,es,False,,184.94,0,0,0,3,20,100.0,7.67,3,0.67,2.5,84,140.33,1.671,70887,12762,100.0,1,0.33,0,1,0,0,
T4_mercury_k4,T4,el_ultimo_turno.txt,mercury-2,mercury,4,narrativo,es,False,,182.21,0,0,0,4,23,100.0,8.5,2.75,1,2.6,109,148.34,1.361,89851,16691,100.0,0,0.0,0,0,0,0,
T4_mercury_k5,T4,el_ultimo_turno.txt,mercury-2,mercury,5,narrativo,es,False,,131.76,0,0,0,3,13,100.0,6.33,3,1,2.75,80,106.33,1.329,73243,11958,100.0,0,0.0,0,0,0,0,
E1_mercury_k1,E1,llegada_a_la_luna.txt,mercury-2,mercury,1,educativo,es,False,,245.29,0,0,0,5,29,100.0,7.4,3,1,1.79,128,205.42,1.605,141563,31967,100.0,0,0.0,0,0,0,8,"{""0"": 1, ""1"": 6, ""2"": 1, ""3"": 0}"
E1_mercury_k2,E1,llegada_a_la_luna.txt,mercury-2,mercury,2,educativo,es,False,,244.86,0,0,0,5,28,100.0,7.4,3,1,2.43,141,206.88,1.467,157160,31643,100.0,5,1.0,0,4,1,8,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0}"
E1_mercury_k3,E1,llegada_a_la_luna.txt,mercury-2,mercury,3,educativo,es,False,,218.83,0,0,0,5,32,100.0,8.2,3,0.6,1.86,131,185.0,1.412,132659,30143,100.0,0,0.0,0,0,0,8,"{""0"": 2, ""1"": 6, ""2"": 0, ""3"": 0}"
E1_mercury_k4,E1,llegada_a_la_luna.txt,mercury-2,mercury,4,educativo,es,False,,238.66,0,0,0,5,35,100.0,9,3,0.6,2.36,138,204.04,1.479,133745,31617,100.0,1,0.2,0,1,0,8,"{""0"": 2, ""1"": 2, ""2"": 3, ""3"": 1}"
E1_mercury_k5,E1,llegada_a_la_luna.txt,mercury-2,mercury,5,educativo,es,False,,7675.71,0,0,0,5,30,100.0,7.8,3,1,1.43,132,7637.0,57.856,130898,27505,100.0,4,0.8,0,2,2,8,"{""0"": 5, ""1"": 2, ""2"": 1, ""3"": 0}"
E2_mercury_k1,E2,vuelta_al_mundo.txt,mercury-2,mercury,1,educativo,es,False,,200.8,0,0,0,4,25,100.0,8,2.25,1,1.57,112,163.83,1.463,114034,22132,100.0,4,1.0,0,3,1,8,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0}"
E2_mercury_k2,E2,vuelta_al_mundo.txt,mercury-2,mercury,2,educativo,es,False,,176.97,0,0,0,4,20,100.0,7.5,3,0.5,1.4,99,147.29,1.488,111711,21916,100.0,2,0.5,0,1,1,8,"{""0"": 6, ""1"": 1, ""2"": 0, ""3"": 1}"
E2_mercury_k3,E2,vuelta_al_mundo.txt,mercury-2,mercury,3,educativo,es,False,,202.04,0,0,0,4,28,100.0,9,3,1,1.89,115,163.52,1.422,119470,24763,100.0,3,0.75,0,2,1,8,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0}"
E2_mercury_k4,E2,vuelta_al_mundo.txt,mercury-2,mercury,4,educativo,es,False,,199.59,1,0,0,4,26,100.0,8.5,3,1,1.36,109,162.81,1.494,131690,30149,100.0,6,1.5,0,4,2,8,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0}"
E2_mercury_k5,E2,vuelta_al_mundo.txt,mercury-2,mercury,5,educativo,es,False,,175.3,0,0,0,4,21,100.0,7,3,0.25,2.33,94,139.67,1.486,105992,20355,100.0,2,0.5,0,2,0,8,"{""0"": 8, ""1"": 0, ""2"": 0, ""3"": 0}"
